Qubit,,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,Operational
73,,312.38990461227854,340.51491182621334,0.005737305,0.004394531,0.003417969,2584,0.000494691,32,0.000494691,0,0.000494691,0.000494691,72:0.001205998207629455;74:0.0014785520609925107;79:0.0014916135796897156,72:88;74:88;79:88,72:0.0019682969857114097;74:0.002051928068383474;79:0.0009089712248697979,Yes
74,,259.65852134549476,296.5243802711041,0.002319336,0.00390625,0.000488281,2584,0.000129302,32,0.000129302,0,0.000129302,0.000129302,73:0.0014785520609925107;75:0.0012967802779838555,73:88;75:88,73:0.002051928068383474;75:0.004813672961847926,Yes
75,,370.2895268619721,485.6486984130876,0.005371094,0.000488281,0.003417969,2584,,32,,0,,,59:0.0026398109512889567;74:0.0012967802779838555,59:88;74:88,59:0.0015968097294449812;74:0.004813672961847926,Yes
76,,156.3549805322007,180.71690541738667,0.009521484,0.008789063,0.004394531,2584,0.0001275,32,0.0001275,0,0.0001275,0.0001275,81:0.0033985441882003475;61:0.0014399540841051883,81:88;61:88,81:0.0016341952406803972;61:0.002477295970757548,Yes
77,,248.79243377706598,295.69049070530656,0.002807617,0.001953125,0.000488281,2584,0.000170351,32,0.000170351,0,0.000170351,0.000170351,85:0.0024700875783084664;65:0.0020697182242998824,85:88;65:88,85:0.001836620887078949;65:0.0034308965795644686,Yes
78,,284.3736286210871,314.94072169991904,0.003051758,0.00390625,0,2584,0.000245673,32,0.000245673,0,0.000245673,0.000245673,69:0.0035079239473871926;89:0.0014970566046871858,69:88;89:88,69:0.0025096683165955758;89:0.005891902594945986,Yes
79,,320.37523660878526,499.70830248314417,0.003540039,0.002929688,0.000976563,2584,0.000213842,32,0.000213842,0,0.000213842,0.000213842,93:0.0012480277179580113;73:0.0014916135796897156,93:88;73:88,93:0.002158021881148081;73:0.0009089712248697979,Yes
80,,307.5155375970105,481.14748427306904,0.002563477,0.005371094,0.000488281,2584,0.000323578,32,0.000323578,0,0.000323578,0.000323578,21:00.0,81:88,21:00.0,Yes
81,,410.49019674114584,512.6538816414075,0.002929688,0.004394531,0.004882813,2584,0.000143241,32,0.000143241,0,0.000143241,0.000143241,80:0.0010886235087936291;82:0.0014102274054447195;76:0.0033985441882003475,80:88;82:88;76:88,80:0.0012437674005705557;76:0.0016341952406803972,Yes
82,,384.4719054776282,512.8555450122126,0.010253906,0.002929688,0.009277344,2584,0.000154132,32,0.000154132,0,0.000154132,0.000154132,81:0.0014102274054447195;83:0.0022236414195847543,81:88;83:148,,Yes
83,,132.41955142689474,185.32370759936234,0.035644531,0.050292969,0.004882813,2584,0.000237055,32,0.000237055,0,0.000237055,0.000237055,82:0.0022236414195847543;84:0.001317467518815646,96:88;82:148;84:88,24:00.0,Yes
84,,361.60440033808106,406.6029813392687,0.002075195,0.001953125,0.001464844,2584,0.000154409,32,0.000154409,0,0.000154409,0.000154409,83:0.001317467518815646;85:0.0012024477282531199,83:88;85:88,83:0.0008121743839696882;85:0.001158499490412579,Yes
85,,433.64381111574386,362.69417889732773,0.004272461,0.001953125,0.001953125,2584,0.000158927,32,0.000158927,0,0.000158927,0.000158927,77:0.0024700875783084664;86:0.0011164473590614954;84:0.0012024477282531199,77:88;86:88;84:88,77:0.001836620887078949;86:0.0011062808187173312;84:0.001158499490412579,Yes
86,,306.6183707977349,486.61274007649257,0.003295898,0.003417969,0.001953125,2584,0.000230194,32,0.000230194,0,0.000230194,0.000230194,85:0.0011164473590614954;87:0.0013891933689350877,85:88;87:88,85:0.0011062808187173312;87:0.0017297993776868026,Yes
