Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,RX error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,CZ error ,RZZ error ,Gate time (ns),Operational,,RZZ,,CZ,,CZ_cleaned
30,231.197317,64.10076894,0.006103516,0.008300781,0.00390625,2584,0.000230384,0.000230384,0,0.000230384,0.000230384,30_31:0.005926882740151129;30_29:0.0026782153418624666,30_31:0.005316744449311045;30_29:0.006964909942374725,30_31:68;30_29:68,TRUE,,0.001649375,,0.001435836,,
31,132.6779511,55.74742141,0.017089844,0.03125,0.002929688,2584,0.000292143,0.000292143,0,0.000292143,0.000292143,31_30:0.005926882740151129;31_32:0.0032597601214082172;31_18:0.006443969837871877,31_30:0.005316744449311045;31_32:0.00407436111945314;31_18:0.005380680278804312,31_30:68;31_32:68;31_18:68,TRUE,,0.001761814,,0.001412858,,
32,277.8146568,43.81592872,0.009765625,0.012207031,0.007324219,2584,0.000573982,0.000573982,0,0.000573982,0.000573982,32_31:0.0032597601214082172;32_33:0.003314095882605339,32_31:0.00407436111945314;32_33:0.0027456670373764425,32_31:68;32_33:68,TRUE,,0.001649375,,0.001435836,,
33,139.3684171,142.9470064,0.006591797,0.012695313,0.000488281,2584,0.000307704,0.000307704,0,0.000307704,0.000307704,33_39:0.002264170732255877;33_32:0.003314095882605339;33_34:0.0016145933485192665,33_39:0.004004442221291177;33_32:0.0027456670373764425;33_34:0.0014078047455046705,33_39:68;33_32:68;33_34:68,TRUE,,0.00183078,,0.00229361,,
34,135.5872925,146.7509134,0.005126953,0.009277344,0.000976563,2584,0.000382423,0.000382423,0,0.000382423,0.000382423,34_33:0.0016145933485192665;34_35:0.0020842264397781807,34_33:0.0014078047455046705;34_35:0.0024634522949413817,34_33:68;34_35:68,TRUE,,0.002047628,,0.004158909,,
35,290.4115978,286.3192127,0.006103516,0.005859375,0.006347656,2584,0.000122334,0.000122334,0,0.000122334,0.000122334,35_19:0.0016726833249723905;35_34:0.0020842264397781807,35_19:0.0028055910340850365;35_34:0.0024634522949413817,35_19:80;35_34:68,TRUE,,0.002567108,,0.005132066,,
36,154.8743701,92.79487275,0.013671875,0.022949219,0.004394531,2584,0.000321084,0.000321084,0,0.000321084,0.000321084,36_41:0.004051397710706284;36_21:0.0041436426639872015,36_41:0.0028420274306083237;36_21:0.0028789537917268404,36_41:68;36_21:68,TRUE,,0.003449142,,0.002738574,,
37,160.2873337,14.02852704,0.020751953,0.022460938,0.019042969,2584,0.00103767,0.00103767,0,0.00103767,0.00103767,37_45:0.005029259972533173;37_25:0.004653431423164545,37_45:0.0112839178160343;37_25:0.0067021212909329775,37_45:68;37_25:68,TRUE,,0.007029554,,0.005372504,,
38,115.8706192,83.0920543,0.009765625,0.019042969,0.000488281,2584,0.000567175,0.000567175,0,0.000567175,0.000567175,38_29:0.0034952713230506083;38_49:0.004373765440894517,38_29:0.003417632148332961;38_49:0.005601282975280092,38_29:68;38_49:68,TRUE,,0.004708967,,0.004440955,,
39,175.7562414,186.3394967,0.007568359,0.015136719,0,2584,0.000317307,0.000317307,0,0.000317307,0.000317307,39_53:0.003286598625658166;39_33:0.002264170732255877,39_53:0.00654541528081537;39_33:0.004004442221291177,39_53:68;39_33:68,TRUE,,0.00538068,,0.00644397,,
40,169.0296585,111.4680827,0.015869141,0.022949219,0.008789063,2584,0.000214184,0.000214184,0,0.000214184,0.000214184,40_41:0.002637819382989681,40_41:0.003489342612497115,40_41:68,TRUE,,0.002805591,,0.001672683,,
41,187.3535733,27.22367481,0.010742188,0.010742188,0.010742188,2584,0.000178248,0.000178248,0,0.000178248,0.000178248,41_40:0.002637819382989681;41_42:0.002191603039798762;41_36:0.004051397710706284,41_40:0.003489342612497115;41_42:0.002850686462319424;41_36:0.0028420274306083237,41_40:68;41_42:68;41_36:68,TRUE,,0.00183078,,0.00229361,,
42,271.840306,130.0306403,0.009033203,0.010253906,0.0078125,2584,0.000254995,0.000254995,0,0.000254995,0.000254995,42_41:0.002191603039798762;42_43:0.008776582094243313,42_41:0.002850686462319424;42_43:0.0062316805633264305,42_41:68;42_43:68,TRUE,,0.002543501,,0.004659515,,
43,177.2966852,94.92137728,0.009765625,0.015136719,0.004394531,2584,0.0004625,0.0004625,0,0.0004625,0.0004625,43_42:0.008776582094243313;43_56:0.007862464514494572;43_44:0.003112020520168901,43_42:0.0062316805633264305;43_56:0.0054392672660714125;43_44:0.0035148399539876862,43_42:68;43_56:68;43_44:68,TRUE,,0.002878954,,0.004143643,,
44,262.5199169,209.6577383,0.004394531,0.004394531,0.004394531,2584,0.000352337,0.000352337,0,0.000352337,0.000352337,44_45:0.004477068616434043;44_43:0.003112020520168901,44_45:0.0030811121889517123;44_43:0.0035148399539876862,44_45:68;44_43:68,TRUE,,0.002543501,,0.004659515,,
45,179.1308819,131.7769583,0.004150391,0.0078125,0.000488281,2584,0.000162827,0.000162827,0,0.000162827,0.000162827,45_44:0.004477068616434043;45_46:0.0032524570409988574;45_37:0.005029259972533173,45_44:0.0030811121889517123;45_46:0.0045607573266653045;45_37:0.0112839178160343,45_44:68;45_46:68;45_37:68,TRUE,,0.005418655,,0.001617174,,
46,263.8119218,93.9199647,0.032226563,0.025390625,0.0390625,2584,0.000268253,0.000268253,0,0.000268253,0.000268253,46_45:0.0032524570409988574;46_47:0.003174486079464023,46_45:0.0045607573266653045;46_47:0.0029371863558243227,46_45:68;46_47:68,TRUE,,0.004995604,,0.00168492,,
47,229.7735871,133.926068,0.006835938,0.009277344,0.004394531,2584,0.000162663,0.000162663,0,0.000162663,0.000162663,47_48:0.007512364228394741;47_57:0.0026252124469132165;47_46:0.003174486079464023,47_48:0.0035705271422062923;47_57:0.0028369493533657864;47_46:0.0029371863558243227,47_48:68;47_57:68;47_46:68,TRUE,,0.005418655,,0.001617174,,
48,224.7737693,261.6624863,0.032226563,0.035644531,0.028808594,2584,0.001825704,0.001825704,0,0.001825704,0.001825704,48_47:0.007512364228394741;48_49:0.005861541458384467,48_47:0.0035705271422062923;48_49:0.004613380663607974,48_47:68;48_49:68,TRUE,,0.004995604,,0.00168492,,
49,222.0591251,268.3113021,0.011230469,0.021484375,0.000976563,2584,0.000157089,0.000157089,0,0.000157089,0.000157089,49_48:0.005861541458384467;49_50:0.00217658313827096;49_38:0.004373765440894517,49_48:0.004613380663607974;49_50:0.0021965711937424748;49_38:0.005601282975280092,49_48:68;49_50:68;49_38:68,TRUE,,1,,1,,
