Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,RX error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,CZ error ,RZZ error ,Gate time (ns),Operational,,RZZ,,CZ,,CZ_cleaned
,,,,,,,,,,,,,,,,,0.02025,,1,,
,,,,,,,,,,,,,,,,,0.02025,,1,,
,,,,,,,,,,,,,,,,,0.002296455,,0.002234534,,
,,,,,,,,,,,,,,,,,0.02025,,1,,
,,,,,,,,,,,,,,,,,0.002123232,,0.002653014,,
,,,,,,,,,,,,,,,,,0.002296455,,0.002234534,,
,,,,,,,,,,,,,,,,,0.006108909,,0.004355844,,
,,,,,,,,,,,,,,,,,0.003372867,,0.004535251,,
,,,,,,,,,,,,,,,,,0.008000425,,0.003520577,,
,,,,,,,,,,,,,,,,,0.004068494,,0.004109012,,
,,,,,,,,,,,,,,,,,1,,0.003623678,,
,,,,,,,,,,,,,,,,,1,,0.003507896,,
,,,,,,,,,,,,,,,,,1,,1,,
,,,,,,,,,,,,,,,,,1,,0.126059709,,
,,,,,,,,,,,,,,,,,0.003335752,,0.004021685,,
,,,,,,,,,,,,,,,,,0.003335752,,0.004021685,,
,,,,,,,,,,,,,,,,,0.002930421,,0.005189195,,
,,,,,,,,,,,,,,,,,0.003372867,,0.004535251,,
,,,,,,,,,,,,,,,,,0.002930421,,0.005189195,,
,,,,,,,,,,,,,,,,,0.00324365,,0.005736575,,
,,,,,,,,,,,,,,,,,0.002589073,,0.005280942,,
,,,,,,,,,,,,,,,,,0.003480519,,0.011971356,,
,,,,,,,,,,,,,,,,,0.00324365,,0.005736575,,
,,,,,,,,,,,,,,,,,0.003480519,,0.011971356,,
,,,,,,,,,,,,,,,,,0.002414446,,0.008237787,,
,,,,,,,,,,,,,,,,,0.004068494,,0.004109012,,
,,,,,,,,,,,,,,,,,0.002414446,,0.008237787,,
,,,,,,,,,,,,,,,,,0.00538306,,0.003880701,,
,,,,,,,,,,,,,,,,,1,,0.007417786,,
,,,,,,,,,,,,,,,,,0.00538306,,0.003880701,,
,,,,,,,,,,,,,,,,,1,,0.007417786,,
,,,,,,,,,,,,,,,,,0.00236829,,0.002513671,,
,,,,,,,,,,,,,,,,,0.004156658,,0.003957351,,
,,,,,,,,,,,,,,,,,0.00236829,,0.002513671,,
,,,,,,,,,,,,,,,,,0.002705299,,0.002505489,,
,,,,,,,,,,,,,,,,,0.109291565,,1,,
,,,,,,,,,,,,,,,,,0.002705299,,0.002505489,,
,,,,,,,,,,,,,,,,,1,,0.003507896,,
,,,,,,,,,,,,,,,,,0.109291565,,1,,
,,,,,,,,,,,,,,,,,0.150597746,,0.054938167,,
,,,,,,,,,,,,,,,,,0.002439011,,0.003530723,,
,,,,,,,,,,,,,,,,,0.150597746,,0.054938167,,
,,,,,,,,,,,,,,,,,0.002608163,,0.002580486,,
,,,,,,,,,,,,,,,,,0.001388334,,0.002665136,,
,,,,,,,,,,,,,,,,,0.002608163,,0.002580486,,
,,,,,,,,,,,,,,,,,0.001388334,,0.002665136,,
,,,,,,,,,,,,,,,,,1,,0.00408654,,
,,,,,,,,,,,,,,,,,1,,0.126059709,,
,,,,,,,,,,,,,,,,,1,,0.00408654,,
,,,,,,,,,,,,,,,,,0.004807803,,0.011493592,,
,,,,,,,,,,,,,,,,,0.004807803,,0.011493592,,
,,,,,,,,,,,,,,,,,0.001646602,,0.001001655,,
,,,,,,,,,,,,,,,,,0.002589073,,0.005280942,,
,,,,,,,,,,,,,,,,,0.001536187,,0.002554273,,
,,,,,,,,,,,,,,,,,0.003229634,,0.005560473,,
,,,,,,,,,,,,,,,,,0.004156658,,0.003957351,,
,,,,,,,,,,,,,,,,,0.002489328,,0.003380581,,
,,,,,,,,,,,,,,,,,0.002439011,,0.003530723,,
,,,,,,,,,,,,,,,,,0.039663606,,1,,
,,,,,,,,,,,,,,,,,0.001646602,,0.001001655,,
,,,,,,,,,,,,,,,,,0.002878036,,0.004193914,,
,,,,,,,,,,,,,,,,,0.002878036,,0.004193914,,
,,,,,,,,,,,,,,,,,0.003291911,,0.002164424,,
,,,,,,,,,,,,,,,,,0.002439812,,0.002615165,,
,,,,,,,,,,,,,,,,,0.003291911,,0.002164424,,
,,,,,,,,,,,,,,,,,0.002439812,,0.002615165,,
,,,,,,,,,,,,,,,,,0.005837495,,0.005207367,,
,,,,,,,,,,,,,,,,,0.001536187,,0.002554273,,
,,,,,,,,,,,,,,,,,0.003204043,,0.004245804,,
,,,,,,,,,,,,,,,,,0.005837495,,0.005207367,,
,,,,,,,,,,,,,,,,,0.003204043,,0.004245804,,
,,,,,,,,,,,,,,,,,0.002743889,,0.002493107,,
,,,,,,,,,,,,,,,,,0.002743889,,0.002493107,,
,,,,,,,,,,,,,,,,,0.003946009,,0.007016247,,
,,,,,,,,,,,,,,,,,0.00190835,,0.003214507,,
,,,,,,,,,,,,,,,,,0.003229634,,0.005560473,,
,,,,,,,,,,,,,,,,,0.003946009,,0.007016247,,
,,,,,,,,,,,,,,,,,0.00190835,,0.003214507,,
,,,,,,,,,,,,,,,,,0.001858754,,0.002082147,,
,,,,,,,,,,,,,,,,,0.003297795,,0.002709607,,
,,,,,,,,,,,,,,,,,0.001858754,,0.002082147,,
,,,,,,,,,,,,,,,,,0.003297795,,0.002709607,,
,,,,,,,,,,,,,,,,,0.006027757,,0.002561782,,
,,,,,,,,,,,,,,,,,0.002489328,,0.003380581,,
,,,,,,,,,,,,,,,,,0.014718564,,0.031320408,,
,,,,,,,,,,,,,,,,,0.006027757,,0.002561782,,
,,,,,,,,,,,,,,,,,0.014718564,,0.031320408,,
,,,,,,,,,,,,,,,,,0.001958252,,0.00312687,,
,,,,,,,,,,,,,,,,,0.001958252,,0.00312687,,
,,,,,,,,,,,,,,,,,0.004617836,,1,,
,,,,,,,,,,,,,,,,,0.004617836,,1,,
,,,,,,,,,,,,,,,,,0.001914274,,0.00257457,,
,,,,,,,,,,,,,,,,,0.039663606,,1,,
,,,,,,,,,,,,,,,,,0.001914274,,0.00257457,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.150597746,,0.003485036,,
